Value,CPU,Memory,Storage,Popularity
0.033899547,-0.086614173,-0.024465224,-0.006672227,1
0,-0.007874016,0,-0.029190992,0.988595831
0.004431233,-0.023622047,-0.003970795,-0.029190992,0.976822424
0.0225468,-0.05511811,-0.016267452,-0.004170142,0.976150411
0.009021161,-0.05511811,-0.008069681,-0.029190992,0.960879269
0.000128176,-0.007874016,-0.00012809,-0.029190992,0.951313376
0.067957787,-0.181102362,-0.049058537,-0.014178482,0.892354559
0.052576646,-0.275590551,-0.018316895,-0.014178482,0.887788759
0.219571892,-0.244094488,-0.124887921,-0.029190992,0.882060561
0.000195316,0,-0.00012809,-0.029190992,0.867749252
0.00238957,0,-0.003970795,-0.000150125,0.862352479
0.001892124,-0.007874016,-0.001921353,-0.029190992,0.862335385
0.000866715,-0.007874016,-0.000896631,-0.029190992,0.862335385
0.00213627,-0.007874016,-0.001921353,-0.029190992,0.862031706
0.000988788,-0.007874016,-0.000896631,-0.029190992,0.862031706
0.002380415,-0.007874016,-0.001921353,-0.029190992,0.861786427
0.00111086,-0.007874016,-0.000896631,-0.029190992,0.861786427
0.005392555,-0.007874016,-0.001921353,-0.014795663,0.860271736
0.011169638,-0.05511811,-0.008069681,-0.029190992,0.85999758
0.005505472,-0.023622047,-0.003970795,-0.029190992,0.85999758
0.016356806,-0.05511811,-0.008069681,-0.004170142,0.859915026
0.022045692,-0.05511811,-0.008069681,-0.061718098,0.859652175
0.044250383,-0.118110236,-0.016267452,-0.124270225,0.859642287
0.03501651,-0.05511811,-0.012168567,-0.124270225,0.859564017
0.070191715,-0.118110236,-0.024465224,-0.249374479,0.859564017
0.017428908,-0.023622047,-0.006020238,-0.061718098,0.859564017
0.121777132,-0.244094488,-0.06545408,-0.799833194,0.859533613
1,-0.748031496,-0.294991674,-0.132610509,0.859483728
0.030328924,-0.05511811,-0.016267452,-0.199332777,0.859480802
0.060816543,-0.118110236,-0.032662995,-0.399499583,0.859480802
0.13900401,-0.496062992,-0.124887921,-0.029190992,0.859480802
0.034631982,-0.118110236,-0.031125913,-0.029190992,0.859480802
0.069422658,-0.244094488,-0.062379915,-0.029190992,0.859480802
0.036585143,-0.118110236,-0.016267452,-0.002919099,0.859480802
0.203366761,-0.496062992,-0.249903932,-0.031192661,0.859480802
0.406892216,-1,-0.499935955,-0.063219349,0.859480802
0.041956335,-0.05511811,-0.015498911,-0.199332777,0.859480802
0.084071364,-0.118110236,-0.031125913,-0.399499583,0.859480802
0.168301422,-0.275590551,-0.062379915,-0.799833194,0.859480802
0.02089882,-0.023622047,-0.007685411,-0.099249374,0.859480802
0.015069856,-0.023622047,-0.008069681,-0.099249374,0.859480802
0.022729908,-0.023622047,-0.007685411,-0.029190992,0.859480802
0.105678205,-0.496062992,-0.06545408,-0.039199333,0.859480802
0.02630053,-0.118110236,-0.016267452,-0.009174312,0.859480802
0.052759755,-0.244094488,-0.032662995,-0.019182652,0.859480802
0.119228257,-0.37007874,-0.049058537,-0.014178482,0.859480802
0.132656238,-0.496062992,-0.06545408,-0.014178482,0.859480802
0.022790945,-0.05511811,-0.008069681,-0.002919099,0.859480802
0.066248772,-0.244094488,-0.032662995,-0.014178482,0.859480802
0.238615209,-0.748031496,-0.098245165,-0.029190992,0.859480802
0.015893846,-0.023622047,-0.003970795,-0.001251043,0.859480802
0.11410121,-0.496062992,-0.06545408,-0.266055046,0.859480802
0.014123794,-0.05511811,-0.008069681,-0.032527106,0.859480802
0.028406282,-0.118110236,-0.016267452,-0.06588824,0.859480802
0.056971258,-0.244094488,-0.032662995,-0.132610509,0.859480802
0.152187845,-0.496062992,-0.124887921,-0.252710592,0.859480802
0.018884623,-0.05511811,-0.015498911,-0.030859049,0.859480802
0.037927941,-0.118110236,-0.031125913,-0.062552127,0.859480802
0.076014575,-0.244094488,-0.062379915,-0.125938282,0.859480802
0.004602135,-0.007874016,-0.00377866,-0.007089241,0.859480802
0.152187845,-0.496062992,-0.13103625,-0.252710592,0.859480802
0.009362964,-0.023622047,-0.007685411,-0.01501251,0.859480802
0.16537168,-0.37007874,-0.098245165,-0.499582986,0.859480802
0.330902055,-0.748031496,-0.196618419,-1,0.859480802
0.027429701,-0.05511811,-0.016267452,-0.082568807,0.859480802
0.041223899,-0.086614173,-0.024465224,-0.124270225,0.859480802
0.082606493,-0.181102362,-0.049058537,-0.249374479,0.859480802
0.006738405,-0.007874016,-0.003970795,-0.020016681,0.859480802
0.330902055,-0.748031496,-0.196618419,-1,0.859480802
0.013635504,-0.023622047,-0.008069681,-0.040867389,0.859480802
0.14391743,-0.748031496,-0.049058537,-0.029190992,0.859480802
0.010888871,-0.05511811,-0.003970795,-0.029190992,0.859480802
0.035852707,-0.181102362,-0.012168567,-0.029190992,0.859480802
0.006799441,-0.023622047,-0.001921353,-0.029190992,0.859480802
0.439302477,-0.496062992,-0.187395927,-0.029190992,0.859480802
0.027307629,-0.023622047,-0.015498911,-0.029190992,0.859480802
0.746925298,-0.496062992,-0.124887921,-0.029190992,0.859480802
0.093226805,-0.05511811,-0.015498911,-0.029190992,0.859480802
0.373383302,-0.244094488,-0.062379915,-0.029190992,0.859480802
0.000543223,0,-0.000384271,-0.029190992,0.859480802
0.407075325,-0.496062992,-0.499935955,-0.031192661,0.859480802
0.050745558,-0.05511811,-0.062379915,-0.003169308,0.859480802
0.814309344,-1,-1,-0.063219349,0.859480802
0.10164981,-0.118110236,-0.124887921,-0.007172644,0.859480802
0.203458315,-0.244094488,-0.249903932,-0.015179316,0.859480802
0.025293432,-0.023622047,-0.031125913,-0.00116764,0.859480802
0.122157998,-0.37007874,-0.196618419,-0.046705588,0.859480802
0.162930229,-0.496062992,-0.262200589,-0.062552127,0.859480802
0.020227421,-0.05511811,-0.032662995,-0.00707256,0.859480802
0.040613537,-0.118110236,-0.06545408,-0.01501251,0.859480802
0.081385768,-0.244094488,-0.13103625,-0.030859049,0.859480802
0.004937835,-0.007874016,-0.008069681,-0.001134279,0.859480802
0.162930229,-0.496062992,-0.262200589,-0.062552127,0.859480802
0.010034363,-0.023622047,-0.016267452,-0.003119266,0.859480802
0.005517679,-0.007874016,-0.003970795,-0.000417014,0.859480802
0.011194053,-0.023622047,-0.008069681,-0.001668057,0.859480802
0.136074269,-0.37007874,-0.098245165,-0.029190992,0.859480802
0.136074269,-0.37007874,-0.098245165,-0.029190992,0.859480802
0.17747731,-0.496062992,-0.06545408,-0.499582986,0.859479978
0.08865946,-0.244094488,-0.032662995,-0.249374479,0.859477506
0.140542124,-0.244094488,-0.049058537,-0.499582986,0.859459998
0.010943499,-0.023622047,-0.003970795,-0.030442035,0.858993045
0.009997742,-0.05511811,-0.008069681,-0.029190992,0.858904395
0.004919524,-0.023622047,-0.003970795,-0.029190992,0.858904395
0.008044581,-0.05511811,-0.008069681,-0.029190992,0.858767156
0.003942943,-0.023622047,-0.003970795,-0.029190992,0.858767156
0.008635107,-0.007874016,-0.002946074,-0.030442035,0.858731863
0.004238359,0,-0.001408992,-0.014795663,0.858681962
0.002673389,-0.007874016,-0.001921353,-0.029190992,0.857413689
0.001257347,-0.007874016,-0.000896631,-0.029190992,0.857413689
0.000158694,-0.007874016,-0.00012809,-0.029190992,0.850258299
0.000476083,-0.007874016,-0.000384271,-0.029190992,0.850258299
0.000415047,-0.007874016,-0.000384271,-0.029190992,0.849277182
9.77E-05,-0.007874016,-0.00012809,-0.029190992,0.848062466
0.00035401,-0.007874016,-0.000384271,-0.029190992,0.848062466
0.001916539,-0.007874016,-0.000896631,-0.029190992,0.831270795
0.000878922,0,-0.000384271,-0.029190992,0.831270795
0.033045039,-0.244094488,-0.016267452,-0.029190992,0.828185326
0.049646905,-0.37007874,-0.024465224,-0.029190992,0.828038399
0.066248772,-0.496062992,-0.032662995,-0.029190992,0.827964935
0.066248772,-0.496062992,-0.032662995,-0.029190992,0.827964935
0.008142239,-0.05511811,-0.003970795,-0.029190992,0.827744544
0.016443172,-0.118110236,-0.008069681,-0.029190992,0.827744544
0.003991772,-0.023622047,-0.001921353,-0.029190992,0.827744544
0.062098305,-0.37007874,-0.024465224,-0.029190992,0.742879442
0.002191202,-0.007874016,-0.001921353,-0.029190992,0.728688954
0.001016254,0,-0.000896631,-0.029190992,0.728688954
0.075037995,-0.496062992,-0.06545408,-0.029190992,0.725769493
0.075037995,-0.496062992,-0.06545408,-0.029190992,0.725769493
0.056238823,-0.37007874,-0.049058537,-0.029190992,0.725574862
0.009240892,-0.05511811,-0.008069681,-0.029190992,0.725574862
0.018640478,-0.118110236,-0.016267452,-0.029190992,0.725574862
0.03743965,-0.244094488,-0.032662995,-0.029190992,0.725574862
0.004541099,-0.023622047,-0.003970795,-0.029190992,0.725574862
0.009240892,-0.05511811,-0.003970795,-0.029190992,0.708447358
0.082850638,-0.496062992,-0.032662995,-0.029190992,0.685989262
0.002185099,-0.007874016,-0.000896631,-0.001134279,0.669650967
0.001013202,0,-0.000384271,-0.000150125,0.669650967
0.037341992,-0.244094488,-0.016267452,-0.030859049,0.666919041
0.056092336,-0.37007874,-0.024465224,-0.046705588,0.666788949
0.074842679,-0.496062992,-0.032662995,-0.062552127,0.666723903
0.074842679,-0.496062992,-0.032662995,-0.062552127,0.666723903
0.009216477,-0.05511811,-0.003970795,-0.007089241,0.666528766
0.018591649,-0.118110236,-0.008069681,-0.01501251,0.666528766
0.004528892,-0.023622047,-0.001921353,-0.003119266,0.666528766
0.070155093,-0.37007874,-0.049058537,-0.029190992,0.641343009
0.056238823,-0.37007874,-0.024465224,-0.029190992,0.613467564
0.093226805,-0.559055118,-0.03676188,-0.029190992,0.607628133
0.018640478,-0.118110236,-0.008069681,-0.029190992,0.606460858
0.03743965,-0.244094488,-0.016267452,-0.029190992,0.604514551
0.11263634,-0.748031496,-0.049058537,-0.029190992,0.604384797
0.075037995,-0.496062992,-0.032662995,-0.029190992,0.60431992
0.002191202,-0.007874016,-0.000896631,-0.029190992,0.604125289
0.004541099,-0.023622047,-0.001921353,-0.029190992,0.604125289
0.059168564,-0.275590551,-0.024465224,-0.029190992,0.603167354
0.093593022,-0.496062992,-0.06545408,-0.029190992,0.599245329
0.088124172,-0.496062992,-0.06545408,-0.062552127,0.58140043
0.020837784,-0.118110236,-0.008069681,-0.009174312,0.579963921
0.046534055,-0.275590551,-0.018316895,-0.029190992,0.579574849
0.010339545,-0.05511811,-0.008069681,-0.029190992,0.579266872
0.010217472,-0.05511811,-0.003970795,-0.029190992,0.578791238
0.093593022,-0.496062992,-0.06545408,-0.029190992,0.57489216
0.005090425,-0.023622047,-0.003970795,-0.029190992,0.572296376
0.066053456,-0.37007874,-0.049058537,-0.046705588,0.57040365
0.062098305,-0.37007874,-0.024465224,-0.029190992,0.566801985
0.020837784,-0.118110236,-0.016267452,-0.029190992,0.556264236
0.002435347,-0.007874016,-0.000896631,-0.029190992,0.549170731
0.041345972,-0.244094488,-0.016267452,-0.029190992,0.546702356
0.165859971,-1,-0.06545408,-0.029190992,0.546614199
0.165859971,-1,-0.06545408,-0.029190992,0.546614199
0.124355304,-0.748031496,-0.049058537,-0.029190992,0.546584814
0.010217472,-0.05511811,-0.003970795,-0.029190992,0.546349731
0.020593639,-0.118110236,-0.008069681,-0.029190992,0.546349731
0.005029389,-0.023622047,-0.001921353,-0.029190992,0.546349731
0.002465865,-0.007874016,-0.001921353,-0.029190992,0.541626195
0.041834262,-0.244094488,-0.032662995,-0.029190992,0.539535046
0.002600145,-0.007874016,-0.001921353,-0.001134279,0.534816082
0.001220725,0,-0.000896631,-0.000150125,0.534816082
0.06283074,-0.37007874,-0.049058537,-0.029190992,0.53349395
0.125820175,-0.748031496,-0.098245165,-0.029190992,0.53349395
0.083827219,-0.496062992,-0.06545408,-0.029190992,0.533435862
0.088124172,-0.496062992,-0.06545408,-0.062552127,0.532329373
0.010876664,-0.05511811,-0.008069681,-0.007089241,0.532163592
0.021912022,-0.118110236,-0.016267452,-0.01501251,0.532163592
0.043982739,-0.244094488,-0.032662995,-0.030859049,0.532163592
0.005358985,-0.023622047,-0.003970795,-0.003119266,0.532163592
0.002478073,-0.007874016,-0.000896631,-0.029190992,0.530886468
0.001159689,0,-0.000384271,-0.029190992,0.530886468
0.042029578,-0.244094488,-0.016267452,-0.029190992,0.528458089
0.063123714,-0.37007874,-0.024465224,-0.029190992,0.528342452
0.084217851,-0.496062992,-0.032662995,-0.029190992,0.528284634
0.010388374,-0.05511811,-0.003970795,-0.029190992,0.528111178
0.020935442,-0.118110236,-0.008069681,-0.029190992,0.528111178
0.00511484,-0.023622047,-0.001921353,-0.029190992,0.528111178
0.005029389,-0.023622047,-0.001921353,-0.029190992,0.518139724
0.002435347,-0.007874016,-0.000896631,-0.029190992,0.49839272
0.124355304,-0.748031496,-0.049058537,-0.029190992,0.492985802
0.124355304,-0.748031496,-0.049058537,-0.029190992,0.492985802
0.020593639,-0.118110236,-0.008069681,-0.029190992,0.492750718
0.070155093,-0.37007874,-0.049058537,-0.029190992,0.482318893
0.041834262,-0.244094488,-0.016267452,-0.019182652,0.480634357
0.06283074,-0.37007874,-0.024465224,-0.029190992,0.480518182
0.125820175,-0.748031496,-0.049058537,-0.062552127,0.480518182
0.083827219,-0.496062992,-0.032662995,-0.039199333,0.480460094
0.010339545,-0.05511811,-0.003970795,-0.004170142,0.480285832
0.002465865,-0.007874016,-0.000896631,-0.000417014,0.480285832
0.005090425,-0.023622047,-0.001921353,-0.001668057,0.480285832
0.002771047,-0.007874016,-0.001921353,-0.029190992,0.469830088
0.00137942,0,-0.001921353,-0.029190992,0.467451268
0.140468881,-0.748031496,-0.098245165,-0.029190992,0.467436401
0.187344739,-1,-0.13103625,-0.029190992,0.467410382
0.187344739,-1,-0.13103625,-0.029190992,0.467410382
0.01156027,-0.05511811,-0.008069681,-0.029190992,0.467332327
0.023279235,-0.118110236,-0.016267452,-0.029190992,0.467332327
0.046717164,-0.244094488,-0.032662995,-0.029190992,0.467332327
0.005700788,-0.023622047,-0.003970795,-0.029190992,0.467332327
0.073670783,-0.37007874,-0.098245165,-0.029190992,0.465072448
0.098280608,-0.496062992,-0.13103625,-0.029190992,0.465072448
0.012146218,-0.05511811,-0.016267452,-0.029190992,0.465072448
0.024451131,-0.118110236,-0.032662995,-0.029190992,0.465072448
0.049060957,-0.244094488,-0.06545408,-0.029190992,0.465072448
0.098280608,-0.496062992,-0.13103625,-0.029190992,0.465072448
0.005993762,-0.023622047,-0.008069681,-0.029190992,0.465072448
0.002917534,-0.007874016,-0.003970795,-0.029190992,0.462693628
0.01156027,-0.05511811,-0.008069681,-0.029190992,0.462336805
0.046717164,-0.244094488,-0.032662995,-0.029190992,0.460775705
